"result","cap.shape","cap.surface","cap.color","bruises","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.surface.above.ring","stalk.surface.below.ring","stalk.color.above.ring","stalk.color.below.ring","veil.type","veil.color","ring.number","ring.type","spore.print.color","population","habitat"
"edible","b","s","g","f","n","f","w","b","w","e","k","s","w","w","p","w","t","p","w","n","g"
"poison","f","f","y","f","f","f","c","b","g","e","k","k","b","p","p","w","o","l","h","v","g"
"poison","f","s","n","f","f","f","c","n","b","t","k","k","w","p","p","w","o","e","w","v","p"
"poison","x","y","y","f","f","f","c","b","h","e","k","k","b","n","p","w","o","l","h","v","g"
"poison","f","f","y","f","f","f","c","b","g","e","k","k","n","n","p","w","o","l","h","y","p"
"poison","x","y","n","f","f","f","c","n","b","t","k","s","w","p","p","w","o","e","w","v","p"
"edible","x","f","g","f","n","f","c","n","g","e","s","s","w","w","p","w","o","p","k","v","u"
"poison","f","y","g","f","f","f","c","b","h","e","k","k","n","p","p","w","o","l","h","v","d"
"poison","x","s","e","f","y","f","c","n","b","t","k","k","w","w","p","w","o","e","w","v","p"
"poison","k","y","n","f","s","f","c","n","b","t","s","s","w","w","p","w","o","e","w","v","l"
"edible","f","f","w","f","n","f","w","b","n","t","s","f","w","w","p","w","o","e","k","a","g"
"edible","x","f","n","t","n","f","c","b","n","t","s","s","w","p","p","w","o","p","n","y","d"
"poison","f","y","n","f","f","f","c","n","b","t","s","s","w","p","p","w","o","e","w","v","d"
"poison","x","y","y","f","f","f","c","b","h","e","k","k","n","n","p","w","o","l","h","v","g"
"poison","x","s","g","f","c","f","w","n","u","e","s","s","w","w","p","w","o","p","k","v","d"
"poison","x","f","y","f","f","f","c","b","p","e","k","k","p","p","p","w","o","l","h","y","d"
"poison","f","s","w","t","f","f","c","b","w","t","f","s","w","w","p","w","o","p","h","v","g"
"edible","x","f","w","f","n","f","w","b","p","t","s","s","w","w","p","w","o","e","k","s","g"
"edible","x","f","w","f","n","f","w","b","p","t","s","f","w","w","p","w","o","e","k","s","g"
"edible","f","y","p","t","n","f","c","b","e","e","s","s","e","e","p","w","t","e","w","c","w"
"edible","f","y","n","t","n","f","c","b","w","e","s","s","w","w","p","w","t","e","w","c","w"
"edible","x","f","g","f","n","f","c","n","k","e","s","s","w","w","p","w","o","p","n","v","u"
"edible","f","f","e","t","n","f","c","b","n","t","s","s","p","w","p","w","o","p","k","v","d"
"edible","x","y","g","t","n","f","c","b","u","t","s","s","p","g","p","w","o","p","k","v","d"
"poison","x","y","n","t","p","f","c","n","k","e","s","s","w","w","p","w","o","p","n","s","g"
"edible","x","f","g","t","n","f","c","b","w","t","s","s","g","p","p","w","o","p","k","v","d"
"edible","f","y","n","t","a","f","c","b","w","e","s","y","w","w","p","w","o","p","k","s","g"
"edible","f","f","e","t","n","f","c","b","n","t","s","s","p","g","p","w","o","p","k","y","d"
"poison","k","s","n","f","s","f","c","n","b","t","s","k","p","p","p","w","o","e","w","v","l"
"poison","f","f","g","f","f","f","c","b","g","e","k","k","n","p","p","w","o","l","h","y","p"
"edible","f","y","g","t","n","f","c","b","w","t","s","s","g","w","p","w","o","p","k","y","d"
"poison","k","y","n","f","n","f","c","n","w","e","k","y","w","n","p","w","o","e","w","v","d"
"poison","f","y","g","f","f","f","c","b","h","e","k","k","n","n","p","w","o","l","h","y","g"
"poison","x","s","n","f","y","f","c","n","b","t","s","k","w","w","p","w","o","e","w","v","d"
"poison","f","y","w","t","p","f","c","n","k","e","s","s","w","w","p","w","o","p","n","v","g"
"poison","k","s","e","f","s","f","c","n","b","t","k","k","w","p","p","w","o","e","w","v","p"
"poison","f","y","n","f","f","f","c","n","b","t","k","k","p","p","p","w","o","e","w","v","p"
"poison","f","s","n","f","f","f","c","n","b","t","k","k","w","p","p","w","o","e","w","v","l"
"poison","f","f","g","f","f","f","c","b","g","e","k","k","n","p","p","w","o","l","h","v","g"
"poison","k","s","e","f","s","f","c","n","b","t","k","s","p","p","p","w","o","e","w","v","l"
"edible","x","f","g","f","n","f","w","b","w","e","k","s","w","w","p","w","t","p","w","s","g"
"poison","k","y","n","f","y","f","c","n","b","t","s","s","w","w","p","w","o","e","w","v","l"
"poison","f","s","e","f","y","f","c","n","b","t","s","k","w","w","p","w","o","e","w","v","l"
"poison","f","y","e","f","s","f","c","n","b","t","k","s","p","p","p","w","o","e","w","v","l"
"poison","x","s","w","f","c","f","w","n","p","e","s","s","w","w","p","w","o","p","n","v","d"
"edible","b","s","n","f","n","a","c","b","n","e","s","s","o","o","p","o","o","p","b","v","l"
"edible","f","f","g","t","n","f","c","b","p","t","s","s","w","w","p","w","o","p","k","y","d"
"poison","k","s","n","f","y","f","c","n","b","t","k","s","p","w","p","w","o","e","w","v","p"
"poison","x","s","n","f","y","f","c","n","b","t","s","k","p","p","p","w","o","e","w","v","p"
"edible","f","f","e","t","n","f","c","b","n","t","s","s","w","w","p","w","o","p","k","v","d"
"edible","x","y","e","t","n","f","c","b","w","t","s","s","g","w","p","w","o","p","k","y","d"
