result,head-shape,head-surface,head-color,lesions,odor,gill-attachment,gill-spacing,gill-size,gill-color,body-shape,body-surface-above-neck,body-surface-below-neck,body-color-above-neck,body-color-below-neck,foot-type,foot-color,number-heads,eye-type,tattoo-print-color,population,habitat
friendly,x,s,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,g
friendly,b,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m
dangerous,x,y,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,s,u
friendly,x,s,g,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,n,a,g
friendly,x,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,g
friendly,b,s,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,m
friendly,b,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,m
dangerous,x,y,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,g
friendly,b,s,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,m
friendly,x,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,g
friendly,x,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,m
friendly,b,s,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g
dangerous,x,y,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u
friendly,x,f,n,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,k,a,g
friendly,s,f,g,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,n,y,u
friendly,f,f,w,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,n,a,g
dangerous,x,s,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,s,g
dangerous,x,y,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,s,u
dangerous,x,s,n,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,s,u
friendly,b,s,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,m
dangerous,x,y,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,g
