result,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
edible,x,s,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,g
edible,b,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m
poison,x,y,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,s,u
edible,x,s,g,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,n,a,g
edible,x,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,g
edible,b,s,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,m
edible,b,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,m
poison,x,y,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,g
edible,b,s,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,m
edible,x,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,g
edible,x,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,m
edible,b,s,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g
poison,x,y,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u
edible,x,f,n,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,k,a,g
edible,s,f,g,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,n,y,u
edible,f,f,w,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,n,a,g
poison,x,s,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,s,g
poison,x,y,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,s,u
poison,x,s,n,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,s,u
edible,b,s,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,m
poison,x,y,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,g
edible,b,y,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,m
edible,b,y,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,m
edible,b,s,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,m
poison,f,s,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,g
edible,x,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m
edible,x,y,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,m
edible,f,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,k,y,u
edible,x,s,y,t,a,f,w,n,n,t,s,s,w,w,p,w,o,p,n,v,d
edible,b,s,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m
poison,x,y,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,s,u
edible,x,y,y,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m
edible,x,y,n,t,l,f,c,b,p,e,s,y,w,w,p,w,o,p,n,y,p
edible,b,y,y,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,m
edible,x,f,y,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,n,v,d
edible,s,f,g,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,u
poison,x,y,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,s,u
edible,x,f,y,t,a,f,w,n,p,t,s,s,w,w,p,w,o,p,n,v,d
edible,b,s,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,m
edible,b,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,g
